"lr_pair","ligand_gene_symbol","receptor_gene_symbol","ligand_gene_id","receptor_gene_id","ligand_ensembl_protein_id","receptor_ensembl_protein_id","ligand_ensembl_gene_id","receptor_ensembl_gene_id","evidence"
"Inha_Acvr2a","Inha","Acvr2a",16322,11480,"ENSMUSP00000040310","ENSMUSP00000067305","ENSMUSG00000032968","ENSMUSG00000052155","12493742"
"Tnfsf9_Traf1","Tnfsf9","Traf1",21950,22029,"ENSMUSP00000040412","ENSMUSP00000130759","ENSMUSG00000035678","ENSMUSG00000026875","30524423"
"Pth2_Ramp1","Pth2","Ramp1",114640,51801,"ENSMUSP00000041047","ENSMUSP00000095253","ENSMUSG00000038300","ENSMUSG00000034353","22434106"
"Mif_Cd74","Mif","Cd74",17319,16149,"ENSMUSP00000041149","ENSMUSP00000095171","ENSMUSG00000033307","ENSMUSG00000024610","30682543,24760155,22014447"
"Mif_Cxcr2","Mif","Cxcr2",17319,12765,"ENSMUSP00000041149","ENSMUSP00000102512","ENSMUSG00000033307","ENSMUSG00000026180","30682543"
"Mif_Ackr3","Mif","Ackr3",17319,12778,"ENSMUSP00000041149","ENSMUSP00000069114","ENSMUSG00000033307","ENSMUSG00000044337","30682543"
"Mif_Cxcr4","Mif","Cxcr4",17319,12767,"ENSMUSP00000041149","ENSMUSP00000053489","ENSMUSG00000033307","ENSMUSG00000045382","24760155"
"Spon1_Lrp8","Spon1","Lrp8",233744,16975,"ENSMUSP00000041157","ENSMUSP00000102343","ENSMUSG00000038156","ENSMUSG00000028613","21488757"
"Lefty1_Acvr1","Lefty1","Acvr1",13590,11477,"ENSMUSP00000041427","ENSMUSP00000088453","ENSMUSG00000038793","ENSMUSG00000026836","15531373"
"Lefty1_Acvr2b","Lefty1","Acvr2b",13590,11481,"ENSMUSP00000041427","ENSMUSP00000126108","ENSMUSG00000038793","ENSMUSG00000061393","11952836"
"Lefty1_Acvr2a","Lefty1","Acvr2a",13590,11480,"ENSMUSP00000041427","ENSMUSP00000067305","ENSMUSG00000038793","ENSMUSG00000052155","11952836"
"Sct_Sctr","Sct","Sctr",20287,319229,"ENSMUSP00000041519","ENSMUSP00000072660","ENSMUSG00000038580","ENSMUSG00000026387","24904528"
"Rspo4_Lgr4","Rspo4","Lgr4",228770,107515,"ENSMUSP00000041578","ENSMUSP00000047325","ENSMUSG00000032852","ENSMUSG00000050199","21693646"
"Sema7a_Itgb1","Sema7a","Itgb1",20361,16412,"ENSMUSP00000042211","ENSMUSP00000087457","ENSMUSG00000038264","ENSMUSG00000025809","27065336"
"Gng10_Kcnj6","Gng10","Kcnj6",14700,16522,"ENSMUSP00000042705","ENSMUSP00000097108","ENSMUSG00000038607","ENSMUSG00000043301","27074662"
"Wnt8b_Fzd10","Wnt8b","Fzd10",22423,93897,"ENSMUSP00000042867","ENSMUSP00000114114","ENSMUSG00000036961","ENSMUSG00000081683","15923619"
"Wnt8b_Ptk7","Wnt8b","Ptk7",22423,71461,"ENSMUSP00000042867","ENSMUSP00000043703","ENSMUSG00000036961","ENSMUSG00000023972","21772251"
"Wnt8b_Fzd7","Wnt8b","Fzd7",22423,14369,"ENSMUSP00000042867","ENSMUSP00000109884","ENSMUSG00000036961","ENSMUSG00000041075","28420671"
"Amh_Acvr1","Amh","Acvr1",11705,11477,"ENSMUSP00000043153","ENSMUSP00000088453","ENSMUSG00000035262","ENSMUSG00000026836","22872577"
"Il5_Csf2rb","Il5","Csf2rb",16191,12983,"ENSMUSP00000043369","ENSMUSP00000094082","ENSMUSG00000036117","ENSMUSG00000071713","8496674"
"Il5_Il5ra","Il5","Il5ra",16191,16192,"ENSMUSP00000043369","ENSMUSP00000129781","ENSMUSG00000036117","ENSMUSG00000005364","31017107"
"Tgfb2_Tgfbr2","Tgfb2","Tgfbr2",21808,21813,"ENSMUSP00000043849","ENSMUSP00000062333","ENSMUSG00000039239","ENSMUSG00000032440","14996829"
"Iapp_Ramp3","Iapp","Ramp3",15874,56089,"ENSMUSP00000043956","ENSMUSP00000047518","ENSMUSG00000041681","ENSMUSG00000041046","25409149"
"Iapp_Calcr","Iapp","Calcr",15874,12311,"ENSMUSP00000043956","ENSMUSP00000075070","ENSMUSG00000041681","ENSMUSG00000023964","12529937"
